text,priority
How does your customer service work?,LOW
I need help. I noticed an unauthorized payment,HIGH
I need help. My payment was declined,MEDIUM
I have been locked out of my account,HIGH
Please help me. My payment was taken but my order was not created,HIGH
How do I correct my account information?,LOW
I need help. My card was charged twice,HIGH
The delivery has been delayed,MEDIUM
Can you tell me how to reset my password?,LOW
Please help me. I have not received my refund yet,MEDIUM
Can you help me? The website is not working properly,MEDIUM
I need help. I am still waiting for my package,MEDIUM
Please tell me: How do I correct my account information?,LOW
Can you help me? My order contains the wrong product,MEDIUM
There is suspicious activity on my account,HIGH
What plans do you offer?,LOW
Please tell me: My shipment is late,MEDIUM
I need help. Can I pay using a credit card?,LOW
Please help me. How much does the subscription cost?,LOW
Can you help me? The product I received is not what I ordered,MEDIUM
I have been locked out of my account,HIGH
Please help me. How can I change my membership?,LOW
My account access has been blocked,HIGH
I need help. The application is showing an error,MEDIUM
Please tell me: There is unauthorized access to my account,HIGH
Please tell me: Can you tell me how to reset my password?,LOW
The payment keeps failing,MEDIUM
Please help me. What features does the service provide?,LOW
Please help me. I lost access to my account because of suspicious activity,HIGH
I need help. I am having a technical problem,MEDIUM
Please help me. I noticed an unauthorized payment,HIGH
Please help me. There is suspicious activity on my account,HIGH
Please help me. Can I check my shipment status?,LOW
Please help me. My parcel has not arrived,MEDIUM
I cannot complete my payment,MEDIUM
I need help. The payment was completed but my order is missing,HIGH
The application is showing an error,MEDIUM
Can you help me? I cannot access my account after someone changed my password,HIGH
Can you help me? My account has been taken over,HIGH
How does the service work?,LOW
Please help me. The package delivery is delayed,MEDIUM
Please help me. My order details are incorrect,MEDIUM
I need help. I received an unauthorized login alert,HIGH
Please tell me: I cannot sign in despite using the correct password,HIGH
Can you help me? The website keeps showing an error,MEDIUM
What payment methods do you accept?,LOW
I need help. I want to learn about the service,LOW
Can you help me? I would like information about the service,LOW
I need help. Can I modify my service plan?,LOW
Please help me. The transaction failed,MEDIUM
My refund has not arrived,MEDIUM
Please tell me: My account access has been blocked,HIGH
Can I cancel my plan?,LOW
I need help. I am still waiting for my package,MEDIUM
Please tell me: The application is running into an error,MEDIUM
Please help me. The payment was completed but my order is missing,HIGH
I need help. I don't recognize this transaction,HIGH
I need help. Can I cancel my plan?,LOW
I need help. The delivery has been delayed,MEDIUM
Can you help me? What subscription options are available?,LOW
Please tell me: Where can I find my delivery information?,LOW
Please help me. How can I update my profile?,LOW
Please tell me: I think someone has stolen my account,HIGH
Please help me. I cannot sign in despite using the correct password,HIGH
What payment options are available?,LOW
I need help. I am still waiting for my refund,MEDIUM
Can you help me? How can I track my order?,LOW
I need help. How do I modify my profile?,LOW
Please help me. How can I edit my personal information?,LOW
I need help. How does the service work?,LOW
Can you help me? The payment keeps failing,MEDIUM
Please help me. What plans do you offer?,LOW
Please help me. How do I modify my profile?,LOW
I need help. How do I update my password?,LOW
Please tell me: My order has not arrived yet,MEDIUM
Please tell me: What features does the service provide?,LOW
Please help me. My order has not arrived yet,MEDIUM
I need help. My credit card payment failed,MEDIUM
Can you help me? The login page is not working,MEDIUM
Please help me. My order has not arrived yet,MEDIUM
Please tell me: How can I track my order?,LOW
Can you help me? The login page is not working,MEDIUM
I need help. How do I change my password?,LOW
I need help. Can you tell me how to reset my password?,LOW
Please help me. Where can I see my order?,LOW
Please help me. Someone logged into my account,HIGH
How can I reset my password?,LOW
Please tell me: I cannot access my account after someone changed my password,HIGH
I received an unauthorized login alert,HIGH
Please tell me: Where can I see my order?,LOW
Can you help me? The delivery has been delayed,MEDIUM
I need help. What payment methods do you accept?,LOW
My order contains the wrong product,MEDIUM
I need help. How do I correct my account information?,LOW
Please help me. My account has been taken over,HIGH
Can I cancel my plan?,LOW
Can you help me? I don't recognize this transaction,HIGH
Can you help me? How can I edit my personal information?,LOW
Can you help me? My account was accessed by someone else,HIGH
I need help. I see an unauthorized charge on my card,HIGH
I need help. My refund has not arrived,MEDIUM
Please tell me: Which cards can I use?,LOW
Can you help me? My order has not arrived yet,MEDIUM
Can you help me? I am having trouble logging in,MEDIUM
Please tell me: There is suspicious activity on my account,HIGH
I am still waiting for my refund,MEDIUM
Please help me. My payment failed,MEDIUM
Please help me. My account is being used by someone else,HIGH
Please help me. I cannot access my account after someone changed my password,HIGH
I need help. The application is showing an error,MEDIUM
Can you help me? Can you tell me about the subscription?,LOW
I need help. I cannot access my account and I think it was hacked,HIGH
Can you help me? My order contains the wrong product,MEDIUM
My account access has been blocked,HIGH
My account has been hacked,HIGH
I need help. The app is not opening,MEDIUM
Can I update my phone number?,LOW
Please tell me: My account has been taken over,HIGH
How can I upgrade my subscription?,LOW
Can you help me? What features does the service provide?,LOW
Please help me. The sign in page keeps failing,MEDIUM
I need help. I have not received my refund yet,MEDIUM
I need help. Can I modify my service plan?,LOW
Please help me. My card was used without my permission,HIGH
Please help me. I think someone has stolen my account,HIGH
Please tell me: The transaction failed,MEDIUM
"I forgot my password, how can I change it?",LOW
Can you help me? How can I update my profile?,LOW
I need help. Where can I see my order?,LOW
I need help. I cannot sign in,MEDIUM
I need help. The website stopped working,MEDIUM
My refund is delayed,MEDIUM
Please help me. How does your customer service work?,LOW
Please help me. My account is being used by someone else,HIGH
Can you help me? I cannot access my account after someone changed my password,HIGH
I was charged but my purchase failed,HIGH
Please tell me: The website keeps showing an error,MEDIUM
Please tell me: Someone changed my account password,HIGH
Can you help me? My account has been hacked,HIGH
How can I upgrade my subscription?,LOW
Please tell me: My money was deducted and I did not receive the service,HIGH
Please help me. My account has been taken over,HIGH
Please help me. Someone made a payment using my card,HIGH
There is a problem with my order,MEDIUM
Can I pay using a credit card?,LOW
Please help me. I think someone has stolen my account,HIGH
Can you help me? The login page shows an error,MEDIUM
Can you help me? How do I update my password?,LOW
The application is running into an error,MEDIUM
I need help. I was charged multiple times,HIGH
Please tell me: My card was used without my permission,HIGH
I need help. I believe my account has been compromised,HIGH
I need help. I cannot sign in,MEDIUM
I need help. I was charged twice for the same transaction,HIGH
Can you help me? I noticed an unauthorized payment,HIGH
Can you help me? What payment options are available?,LOW
Please help me. Can I check my shipment status?,LOW
Please help me. Someone is using my account,HIGH
Can you help me? I have not received my refund yet,MEDIUM
Can you help me? How can I update my email?,LOW
Please tell me: What features does the service provide?,LOW
The product I received is not what I ordered,MEDIUM
I want to learn about the service,LOW
I received an unauthorized login alert,HIGH
Please tell me: What subscription options are available?,LOW
I need help. The system is not responding,MEDIUM
Please help me. How do I change my account information?,LOW
I need help. My account access has been blocked,HIGH
Please help me. I received an unauthorized login alert,HIGH
Please help me. The login page is not working,MEDIUM
Please tell me: I lost access to my account because of suspicious activity,HIGH
I need help. My package is delayed,MEDIUM
I don't recognize this transaction,HIGH
Can you help me? My login attempt is failing,MEDIUM
Please help me. I don't recognize this transaction,HIGH
I need help. My refund has not arrived,MEDIUM
Please help me. What is included in the membership?,LOW
Please tell me: Can I check my shipment status?,LOW
Can you help me? Can I cancel my plan?,LOW
Please tell me: How do I change my password?,LOW
Can you help me? My package is delayed,MEDIUM
I need help. Can I check my shipment status?,LOW
"I forgot my password, how can I change it?",LOW
Please tell me: The delivery has been delayed,MEDIUM
Please tell me: The delivery is taking too long,MEDIUM
Please help me. How does your customer service work?,LOW
Please tell me: I cannot access my account,HIGH
Can you help me? My payment was taken but my order was not created,HIGH
Please help me. There is a fraudulent transaction on my account,HIGH
My account was hacked and I need help immediately,HIGH
I need help. The checkout payment failed,MEDIUM
The login page shows an error,MEDIUM
How does the service work?,LOW
I need help. How does the service work?,LOW
I need help. My account was accessed by someone else,HIGH
I need help. How can I update my email?,LOW
Can you help me? The website is not working properly,MEDIUM
Please help me. Someone changed my account password,HIGH
Please help me. The application is showing an error,MEDIUM
Can you help me? Can I cancel my plan?,LOW
I need help. Someone made a payment using my card,HIGH
How do I correct my account information?,LOW
Please help me. Can you tell me about the subscription?,LOW
Can you help me? I cannot access my account and I think it was hacked,HIGH
Please help me. I urgently need to recover my account,HIGH
Can you help me? I have been locked out of my account,HIGH
Someone made a payment using my card,HIGH
Can you help me? How do I change my account information?,LOW
Can you help me? I was charged multiple times,HIGH
My refund has not arrived,MEDIUM
Can you help me? I am having a technical problem,MEDIUM
Please help me. I cannot sign in,MEDIUM
Can you help me? Someone is using my account,HIGH
Please tell me: I noticed an unauthorized payment,HIGH
I need help. Someone logged into my account,HIGH
Please tell me: How much does the subscription cost?,LOW
My login attempt is failing,MEDIUM
My refund has not arrived,MEDIUM
I need help. I believe my account has been compromised,HIGH
Please tell me: I want to learn about the service,LOW
Please tell me: The payment keeps failing,MEDIUM
My parcel has not arrived,MEDIUM
Can you help me? The item in my order is incorrect,MEDIUM
Can you help me? How does the service work?,LOW
The transaction failed,MEDIUM
Can you help me? I believe my account has been compromised,HIGH
My account was accessed by someone else,HIGH
Please help me. Where can I find my delivery information?,LOW
I believe my account has been compromised,HIGH
Please tell me: Can I modify my service plan?,LOW
Please tell me: My shipment is taking longer than expected,MEDIUM
Can you help me? My order details are incorrect,MEDIUM
I am completely locked out of my account,HIGH
Can you help me? I have not received my refund yet,MEDIUM
Please help me. The product I received is not what I ordered,MEDIUM
Please help me. I am still waiting for my refund,MEDIUM
I need help. I am still waiting for my refund,MEDIUM
Please tell me: The website keeps showing an error,MEDIUM
Please help me. The application is showing an error,MEDIUM
I need help. My account has been hacked,HIGH
Can you help me? I think someone stole my credentials,HIGH
Please help me. My payment failed,MEDIUM
I need help. I think someone stole my credentials,HIGH
I need help. Can you explain the platform?,LOW
How do I modify my profile?,LOW
Can you help me? I believe my account has been compromised,HIGH
Please help me. My money was deducted and I did not receive the service,HIGH
Can you help me? I am having trouble making a payment,MEDIUM
Please tell me: I noticed an unauthorized payment,HIGH
Please tell me: My order has not arrived yet,MEDIUM
Please tell me: My shipment is taking longer than expected,MEDIUM
Please tell me: What plans do you offer?,LOW
Please tell me: There is unauthorized access to my account,HIGH
My refund has not arrived,MEDIUM
Someone is using my account,HIGH
I need help. My account is locked and I cannot log in,HIGH
The transaction failed,MEDIUM
I lost access to my account because of suspicious activity,HIGH
Can you help me? How does the service work?,LOW
Can you help me? My login attempt is failing,MEDIUM
Someone logged into my account,HIGH
I need help. How can I edit my personal information?,LOW
Can you help me? The package delivery is delayed,MEDIUM
Can you help me? My order details are incorrect,MEDIUM
Please help me. I cannot access my account,HIGH
I need help. My payment failed,MEDIUM
Can you help me? I don't recognize this transaction,HIGH
Please help me. My refund is delayed,MEDIUM
Please help me. My order details are incorrect,MEDIUM
Please tell me: Can I modify my service plan?,LOW
Can you help me? How can I update my email?,LOW
Please help me. I cannot access my account and I think it was hacked,HIGH
I need help. Someone made a payment using my card,HIGH
Please tell me: Can I change my account details?,LOW
Please tell me: The login page is not working,MEDIUM
Can you help me? My shipment is late,MEDIUM
Please tell me: I noticed an unauthorized payment,HIGH
Please help me. I cannot access my account after someone changed my password,HIGH
I need help. How do I cancel my subscription?,LOW
Can you help me? How can I change my membership?,LOW
Please tell me: My card was charged twice,HIGH
Please tell me: How do I change my password?,LOW
I received the wrong item,MEDIUM
Can you help me? How much does the subscription cost?,LOW
I need help. My account is being used by someone else,HIGH
Can you help me? My order contains the wrong product,MEDIUM
Please tell me: I cannot access my account and I think it was hacked,HIGH
I need help. I received a different product,MEDIUM
Please help me. I am having trouble making a payment,MEDIUM
Please help me. My shipment is taking longer than expected,MEDIUM
Please help me. What plans do you offer?,LOW
Can you help me? I believe my account has been compromised,HIGH
Can you help me? Can I cancel my plan?,LOW
I think someone stole my credentials,HIGH
Can you help me? The application is running into an error,MEDIUM
How can I upgrade my subscription?,LOW
Please tell me: What plans do you offer?,LOW
Please help me. How do I cancel my subscription?,LOW
Please tell me: How do I change my password?,LOW
Can you help me? I cannot sign in,MEDIUM
Please tell me: I urgently need to recover my account,HIGH
I need help. How do I update my password?,LOW
I don't recognize this transaction,HIGH
Can you help me? I think someone stole my credentials,HIGH
Please tell me: I don't recognize this transaction,HIGH
Please tell me: The sign in page keeps failing,MEDIUM
I need help. My shipment is taking longer than expected,MEDIUM
My account security has been compromised,HIGH
I need help. I cannot access my account and I think it was hacked,HIGH
Please help me. I am still waiting for my refund,MEDIUM
The checkout payment failed,MEDIUM
Can you help me? What payment options are available?,LOW
Can you help me? I received an unauthorized login alert,HIGH
I cannot sign in,MEDIUM
Can you help me? How can I update my profile?,LOW
Please tell me: What payment options are available?,LOW
My shipment is late,MEDIUM
Can you help me? I am still waiting for my refund,MEDIUM
My shipment is taking longer than expected,MEDIUM
Please tell me: I was charged but my purchase failed,HIGH
Can I pay using a credit card?,LOW
The sign in page keeps failing,MEDIUM
Can you help me? My account has been hacked,HIGH
Please help me. Someone accessed my account without permission,HIGH
Where can I see my order?,LOW
I received the wrong item,MEDIUM
I need help. There are duplicate charges on my account,HIGH
The item in my order is incorrect,MEDIUM
My account has been taken over,HIGH
I think someone has stolen my account,HIGH
Can you help me? How do I change my account information?,LOW
I lost access to my account because of suspicious activity,HIGH
I need help. Can you tell me about the subscription?,LOW
I need help. How do I change my account information?,LOW
I lost access to my account because of suspicious activity,HIGH
Please tell me: My card was used without my permission,HIGH
Can you help me? How can I update my profile?,LOW
Please tell me: I cannot access my account after someone changed my password,HIGH
I need help. What are your subscription plans?,LOW
I need help. How can I downgrade my plan?,LOW
I need help. I am having trouble making a payment,MEDIUM
Please help me. I am having trouble logging in,MEDIUM
Can you help me? Can I change my account details?,LOW
"Please tell me: I forgot my password, how can I change it?",LOW
I need help. How can I update my profile?,LOW
I need help. My order has not arrived yet,MEDIUM
Can you help me? Someone made a payment using my card,HIGH
Please help me. Can you explain the platform?,LOW
I think someone stole my credentials,HIGH
Can you help me? Can I update my phone number?,LOW
Please tell me: The payment was completed but my order is missing,HIGH
I need help. I am having trouble logging in,MEDIUM
I need help. Can I check my shipment status?,LOW
"I forgot my password, how can I change it?",LOW
Please help me. Someone made a payment using my card,HIGH
I believe my account has been compromised,HIGH
Please tell me: My account security has been compromised,HIGH
I need help. The application keeps crashing,MEDIUM
Please tell me: How much does the subscription cost?,LOW
Please tell me: How can I edit my personal information?,LOW
I need help. The item in my order is incorrect,MEDIUM
I need help. What features does the service provide?,LOW
Please help me. Can you provide information about the platform?,LOW
Please help me. The website keeps showing an error,MEDIUM
I need help. My shipment is taking longer than expected,MEDIUM
I need help. I urgently need access to my account,HIGH
Can you help me? I noticed an unauthorized payment,HIGH
Can you help me? My account is being used by someone else,HIGH
My order contains the wrong product,MEDIUM
Please tell me: The refunded amount has not reached me,MEDIUM
Please help me. Can you tell me about the subscription?,LOW
My payment was taken but my order was not created,HIGH
Please help me. Can I update my phone number?,LOW
Can you help me? I was charged multiple times,HIGH
I need help. Someone logged into my account,HIGH
Please tell me: My refund has not arrived,MEDIUM
Please help me. I am having trouble logging in,MEDIUM
I was charged but my purchase failed,HIGH
My account has unauthorized activity,HIGH
I need help. My credit card payment failed,MEDIUM
Please tell me: My account has been hacked,HIGH
Please help me. My payment was taken but my order was not created,HIGH
I need help. The application is showing an error,MEDIUM
I lost access to my account because of suspicious activity,HIGH
Please tell me: What are your subscription plans?,LOW
Please tell me: The application is showing an error,MEDIUM
Please help me. I cannot sign in despite using the correct password,HIGH
Please help me. I believe my account has been compromised,HIGH
Please help me. I cannot complete my payment,MEDIUM
Can you help me? What features does the service provide?,LOW
Can you help me? I noticed an unauthorized payment,HIGH
How do I cancel my subscription?,LOW
Can you help me? I think someone has stolen my account,HIGH
Can you help me? The app is not opening,MEDIUM
Can you help me? The website is not working properly,MEDIUM
My refund is delayed,MEDIUM
Can you help me? My package is delayed,MEDIUM
The website keeps showing an error,MEDIUM
What is included in the membership?,LOW
