text,category
I am having a technical problem with the application,TECHNICAL
I received the wrong item in my order details,ORDER
I want to check my shipment,DELIVERY
My package is delayed,DELIVERY
I need to edit my personal information,ACCOUNT
The credit card payment is not going through,PAYMENT
How do I restore my account password?,PASSWORD
Can I receive my refunded payment?,REFUND
I need to change my account password,PASSWORD
My parcel has not arrived,DELIVERY
How can I find my package?,DELIVERY
I need help because I need assistance.,GENERAL
I need assistance because I need to update my details.,ACCOUNT
How can I track my order details?,ORDER
Can I request my returned payment?,REFUND
I cannot make a card payment,PAYMENT
Please help me: the account access is rejecting my attempt,LOGIN
Please check my refund,REFUND
Please help me: i cannot retry a payment,PAYMENT
I am having trouble with account access,LOGIN
The system is very slow,TECHNICAL
How can I update my order details?,ORDER
I was charged and need a money back,REFUND
Please check my refund request,REFUND
I cannot make a payment,PAYMENT
How do I renew my monthly plan?,SUBSCRIPTION
How can I correct my profile?,ACCOUNT
Please help me: i want to use the support,GENERAL
How can I track my delivery?,DELIVERY
Can I upgrade my monthly plan?,SUBSCRIPTION
The website stopped working,TECHNICAL
I need support with this: i cannot log in,LOGIN
How can I track my ordered item?,ORDER
I want to track my shipment,DELIVERY
Can I downgrade my plan?,SUBSCRIPTION
Can someone help me with the support?,GENERAL
I want to check my delivery,DELIVERY
My parcel is delayed,DELIVERY
Can you help me restore my password?,PASSWORD
Please help me: i cannot sign in,LOGIN
Can I update my phone number?,ACCOUNT
I need to edit my phone number,ACCOUNT
My money back has not arrived,REFUND
I need assistance because my card was declined.,PAYMENT
I am having trouble with my payment,PAYMENT
The website is not working,TECHNICAL
When will my package arrive?,DELIVERY
Can I get my returned payment?,REFUND
The payment is not going through,PAYMENT
Please help me: i want to use the service,GENERAL
I need assistance because the application keeps crashing.,TECHNICAL
How do I restore my password?,PASSWORD
Can I get my refunded payment?,REFUND
Please help me with my membership,SUBSCRIPTION
I want to know about the account service,GENERAL
How can I change my phone number?,ACCOUNT
Please help me: the system is not working,TECHNICAL
I need to modify my personal information,ACCOUNT
Please help me: i need help because I have a question that is not covered elsewhere.,GENERAL
Can I change my account information?,ACCOUNT
Can I edit my personal information?,ACCOUNT
There is a problem with my transaction,PAYMENT
How can I update my purchase?,ORDER
I need to edit my email address,ACCOUNT
How do I renew my subscription?,SUBSCRIPTION
Please help me: can you help me?,GENERAL
I want to use the support,GENERAL
Can I update my profile?,ACCOUNT
I want to track my order details,ORDER
I need assistance because I need help getting my money back.,REFUND
How do I update my password?,PASSWORD
I need to change my login password,PASSWORD
Can you help me update my new password?,PASSWORD
My shipment has not arrived,DELIVERY
How can I correct my personal information?,ACCOUNT
The account access is rejecting my attempt,LOGIN
Can I receive my refund?,REFUND
I want to upgrade my subscription,SUBSCRIPTION
Why was my checkout payment declined?,PAYMENT
I cannot remember my password,PASSWORD
I need help because I cannot remember it.,PASSWORD
I want to downgrade my subscription,SUBSCRIPTION
I forgot my old password,PASSWORD
I need assistance because I was charged and want a refund.,REFUND
Can I track my order request?,ORDER
How do I downgrade my service plan?,SUBSCRIPTION
I received the wrong item in my order request,ORDER
Please help me: the website is not working,TECHNICAL
The payment keeps failing,PAYMENT
I was charged and need a refunded payment,REFUND
I cannot process a credit card payment,PAYMENT
How can I cancel my order details?,ORDER
Can you help me change my password?,PASSWORD
I need to modify my account information,ACCOUNT
Please help me: my package has not arrived,DELIVERY
I need to replace my account password,PASSWORD
I need to change my password,PASSWORD
My debit card payment failed,PAYMENT
The application keeps crashing,TECHNICAL
I need to modify my profile,ACCOUNT
The system is not working,TECHNICAL
I need to get a refund,REFUND
How do I restore my login password?,PASSWORD
I need assistance because I want to keep my account information current.,ACCOUNT
The application is not working,TECHNICAL
How can I edit my phone number?,ACCOUNT
Can I change my ordered item?,ORDER
Can I modify my account details?,ACCOUNT
The transaction keeps failing,PAYMENT
My sign-in page is not working,LOGIN
I want to know about the customer service,GENERAL
There is a problem with my payment,PAYMENT
I want to cancel my order,ORDER
I am unable to log in,LOGIN
How can I locate my shipment?,DELIVERY
Please help me with my order,ORDER
How can I change my account details?,ACCOUNT
How do I request a money back?,REFUND
I need help with my account details,ACCOUNT
Please provide information about the service,GENERAL
Can you help me recover my new password?,PASSWORD
How do I process a returned payment?,REFUND
Please help me: why can't I log in?,LOGIN
I have a question about the customer service,GENERAL
I need assistance because the transaction was rejected.,PAYMENT
I forgot my new password,PASSWORD
Please help me: i cannot make a debit card payment,PAYMENT
I want a refund,REFUND
How can I modify my order?,ORDER
How do I upgrade my monthly plan?,SUBSCRIPTION
Can I modify my order details?,ORDER
Can I modify my account information?,ACCOUNT
Please help with my checkout payment,PAYMENT
The sign in keeps failing,LOGIN
The web page is showing an error,TECHNICAL
Please help me: how does this service work?,GENERAL
I need help changing my plan,SUBSCRIPTION
Can I correct my account information?,ACCOUNT
I need support with this: how does this support work?,GENERAL
I received the wrong item in my ordered item,ORDER
I want to renew my membership,SUBSCRIPTION
I need assistance because my subscription renewed.,SUBSCRIPTION
Please help me: please help with my login,LOGIN
Please help me: i need assistance,GENERAL
My refund has not arrived,REFUND
I need support with this: i am having trouble with login page,LOGIN
Please help me: the website is showing an error,TECHNICAL
Can I get my refund?,REFUND
How do I cancel my service plan?,SUBSCRIPTION
Please provide information about the customer service,GENERAL
Can you help me recover my current password?,PASSWORD
How can I find my delivery?,DELIVERY
Please help me: i am unable to sign in,LOGIN
I want to track my delivery,DELIVERY
I cannot retry a debit card payment,PAYMENT
Can someone help me with the account service?,GENERAL
Can I change my personal information?,ACCOUNT
I want to correct my email address,ACCOUNT
How can I track my order request?,ORDER
I want to change my subscription,SUBSCRIPTION
How do I upgrade my membership?,SUBSCRIPTION
I want to change my ordered item,ORDER
Please help me: the app is showing an error,TECHNICAL
Please help me: i want to find my package,DELIVERY
How can I check my delivery?,DELIVERY
How can I change my order?,ORDER
I want to check my shipping,DELIVERY
Please help me: i have a question about the support,GENERAL
I want to track my parcel,DELIVERY
How can I track my purchase?,ORDER
I want to modify my order,ORDER
Please help me: can someone help me with the customer service?,GENERAL
Can I check my money back?,REFUND
Please help me: how can I find my parcel?,DELIVERY
The software will not work,TECHNICAL
I need assistance because I need information about subscription pricing.,SUBSCRIPTION
Please help me: i cannot authenticate,LOGIN
Can I correct my email address?,ACCOUNT
I need to check a refund,REFUND
The website will not load,TECHNICAL
The sign-in is rejecting my attempt,LOGIN
How do I change my monthly plan?,SUBSCRIPTION
I forgot my current password,PASSWORD
Please help me: i am having trouble with login page,LOGIN
I need to correct my profile,ACCOUNT
How do I process a refunded payment?,REFUND
I am having a technical problem with the web page,TECHNICAL
I have a problem with my purchase,ORDER
I want to update my purchase,ORDER
How do I recover my current password?,PASSWORD
How do I receive a refund?,REFUND
I keep getting blocked when I try to sign in,LOGIN
My parcel is late,DELIVERY
The web page will not respond,TECHNICAL
How can I update my order?,ORDER
I need to modify my email address,ACCOUNT
Please help me: why was my debit card payment declined?,PAYMENT
Can I track my order?,ORDER
Please help me: how can I check my shipment?,DELIVERY
There is an error in the system,TECHNICAL
I have a problem with my monthly plan,SUBSCRIPTION
Please help me: i want to learn about the customer service,GENERAL
Can I renew my monthly plan?,SUBSCRIPTION
Can you help me change my account password?,PASSWORD
The debit card payment is not going through,PAYMENT
I cannot submit a card payment,PAYMENT
My transaction was declined,PAYMENT
I need to update my account information,ACCOUNT
How do I renew my plan?,SUBSCRIPTION
How do I process a money back?,REFUND
The software will not start,TECHNICAL
Please help me with my order request,ORDER
My package is late,DELIVERY
How do I upgrade my service plan?,SUBSCRIPTION
Please help me: i have a question about the service,GENERAL
My account access is not working,LOGIN
Please help me: my login page is not working,LOGIN
Can I process my money back?,REFUND
I cannot access my account through the sign-in,LOGIN
My returned payment has not arrived,REFUND
Please help me: i need some information,GENERAL
How do I change my service plan?,SUBSCRIPTION
Please provide information about the platform,GENERAL
I need help because I want to update it.,PASSWORD
Please help me: i need help because I need assistance.,GENERAL
Please help me: please help with my sign-in page,LOGIN
I cannot submit a debit card payment,PAYMENT
I need help changing my service plan,SUBSCRIPTION
How can I update my account details?,ACCOUNT
Please help me: i want to know about the account service,GENERAL
How can I change my account information?,ACCOUNT
How do I update my new password?,PASSWORD
I need to change my account details,ACCOUNT
I keep getting blocked when I try to authenticate,LOGIN
I need to correct my personal information,ACCOUNT
Please help me: i have a question about the customer service,GENERAL
I want to change my profile,ACCOUNT
My sign-in is not working,LOGIN
I need help with a returned payment,REFUND
Can I modify my order request?,ORDER
My monthly plan was renewed,SUBSCRIPTION
The website is showing an error,TECHNICAL
I need help with a money back,REFUND
I cannot complete a credit card payment,PAYMENT
Please help me: the web page will not start,TECHNICAL
Please help me: i cannot log in,LOGIN
Can you help me restore my old password?,PASSWORD
I need to receive a refund,REFUND
Please help me: the sign-in page keeps failing,LOGIN
I want to downgrade my monthly plan,SUBSCRIPTION
Please help me: i keep getting blocked when I try to sign in,LOGIN
How can I update my order request?,ORDER
Please help me: my sign in is not working,LOGIN
I need to receive a refunded payment,REFUND
Where is my parcel?,DELIVERY
How can I modify my purchase?,ORDER
I need assistance because I need to reverse a payment.,REFUND
I cannot remember my current password,PASSWORD
I want to use the account service,GENERAL
Can I edit my email address?,ACCOUNT
The sign-in page is rejecting my attempt,LOGIN
Please help me: the app will not respond,TECHNICAL
I keep getting blocked when I try to log in,LOGIN
I need help with an ordered item,ORDER
Please help me: please help with this application problem,TECHNICAL
Please help me: the login keeps failing,LOGIN
How do I change my password?,PASSWORD
I need to replace my old password,PASSWORD
I want to track my shipping,DELIVERY
Please get my refunded payment,REFUND
The application will not start,TECHNICAL
How do I receive a refunded payment?,REFUND
How do I check a refunded payment?,REFUND
Can you help me restore my account password?,PASSWORD
Can I change my order?,ORDER
Can I update my order?,ORDER
I want to modify my order details,ORDER
How do I change my plan?,SUBSCRIPTION
I need assistance because checkout would not accept my payment.,PAYMENT
Please help me: can someone help me with the platform?,GENERAL
Please help me: i am having trouble with my checkout payment,PAYMENT
Can I process my returned payment?,REFUND
How can I edit my email address?,ACCOUNT
How do I renew my membership?,SUBSCRIPTION
The app is not working,TECHNICAL
Can I check my returned payment?,REFUND
Please help me: my card payment failed,PAYMENT
Please help me: please help with my account access,LOGIN
Can you help me reset my account password?,PASSWORD
I need support with this: please provide information about the account service,GENERAL
I am waiting for my parcel,DELIVERY
How do I restore my current password?,PASSWORD
How can I modify my phone number?,ACCOUNT
I want to learn about the platform,GENERAL
How can I update my phone number?,ACCOUNT
I want to locate my shipping,DELIVERY
I need assistance because my payment failed.,PAYMENT
Please help me: i want to check my delivery,DELIVERY
Please help me: how does this platform work?,GENERAL
My purchase is incorrect,ORDER
Please get my refund request,REFUND
I want to renew my monthly plan,SUBSCRIPTION
Please help me: i want to track my shipment,DELIVERY
Can I receive my refund request?,REFUND
Please help me: i need assistance because checkout would not accept my payment.,PAYMENT
When will my delivery arrive?,DELIVERY
Please help me: the web page will not work,TECHNICAL
My credit card payment failed,PAYMENT
Please help with my credit card payment,PAYMENT
I cannot remember my login password,PASSWORD
I want to know about the service,GENERAL
I need to check a money back,REFUND
There is an error in the application,TECHNICAL
I am having trouble with sign-in,LOGIN
The card payment keeps failing,PAYMENT
I need help because I need to reset it.,PASSWORD
Please help me: how does this customer service work?,GENERAL
I need help with a refunded payment,REFUND
There is an error in the software,TECHNICAL
Please help me: how can I track my parcel?,DELIVERY
Can you help me recover my password?,PASSWORD
Please help me: my card payment was declined,PAYMENT
Please help me: i need help because I need some information.,GENERAL
Can someone help me with the platform?,GENERAL
How do I recover my account password?,PASSWORD
Please help me: i keep getting blocked when I try to authenticate,LOGIN
The card payment is not going through,PAYMENT
How can I cancel my order request?,ORDER
Can I upgrade my membership?,SUBSCRIPTION
The transaction is not going through,PAYMENT
Please check my returned payment,REFUND
I want to know about the support,GENERAL
Please help me: i want to learn about the support,GENERAL
The app is very slow,TECHNICAL
Please help me: i am waiting for my shipment,DELIVERY
How can I correct my account information?,ACCOUNT
I am having trouble with my transaction,PAYMENT
Can you help me replace my new password?,PASSWORD
Please help me: my parcel is late,DELIVERY
I want to change my personal information,ACCOUNT
How do I cancel my subscription?,SUBSCRIPTION
Can I upgrade my plan?,SUBSCRIPTION
Can I change my email address?,ACCOUNT
Please help me: please help with my sign in,LOGIN
I need to recover my current password,PASSWORD
I need to request a refund,REFUND
Can you help me reset my old password?,PASSWORD
I cannot retry a credit card payment,PAYMENT
Please help me: the web page is very slow,TECHNICAL
I need support with this: i want to learn about the support,GENERAL
I need help with an order details,ORDER
The software keeps crashing,TECHNICAL
I cannot complete a payment,PAYMENT
There is a problem with my debit card payment,PAYMENT
There is an issue with my order request,ORDER
Please help me: how do I upgrade my service plan?,SUBSCRIPTION
Please help with my sign-in page,LOGIN
Please help me: when will my delivery arrive?,DELIVERY
I need to change my current password,PASSWORD
Please help me: please provide information about the account service,GENERAL
How do I update my login password?,PASSWORD
Please help me: i want to understand the customer service,GENERAL
I need assistance because my profile has old information.,ACCOUNT
I want to cancel my plan,SUBSCRIPTION
Why was my card payment declined?,PAYMENT
Please help me: i am unable to authenticate,LOGIN
I cannot remember my new password,PASSWORD
The website will not start,TECHNICAL
How can I change my order details?,ORDER
Can I get my refund request?,REFUND
Please help me: the sign in is rejecting my attempt,LOGIN
How can I modify my personal information?,ACCOUNT
Can I edit my phone number?,ACCOUNT
How do I request a refund?,REFUND
Please help me: i need help because I have a general question.,GENERAL
Can I change my purchase?,ORDER
I am unable to authenticate,LOGIN
Can I cancel my membership?,SUBSCRIPTION
I want to renew my service plan,SUBSCRIPTION
I need to process a refund request,REFUND
I want to modify my ordered item,ORDER
The system stopped working,TECHNICAL
How does this service work?,GENERAL
My delivery is late,DELIVERY
I cannot access my account through the sign-in page,LOGIN
I am unable to access my account,LOGIN
How do I get a refunded payment?,REFUND
The application is showing an error,TECHNICAL
How do I reset my new password?,PASSWORD
I have a problem with my ordered item,ORDER
Can I renew my service plan?,SUBSCRIPTION
There is an issue with my order details,ORDER
Please help me: please help me with my parcel,DELIVERY
I need to replace my current password,PASSWORD
I want to track my order,ORDER
I need assistance because the payment did not go through.,PAYMENT
How can I modify my account details?,ACCOUNT
There is an issue with my order,ORDER
How do I recover my old password?,PASSWORD
I cannot process a checkout payment,PAYMENT
Please help me: why can't I authenticate?,LOGIN
I need to recover my old password,PASSWORD
Please help me: how much does the monthly plan cost?,SUBSCRIPTION
I need assistance because I want to change my membership.,SUBSCRIPTION
The app will not work,TECHNICAL
I want to learn about the support,GENERAL
How can I edit my account information?,ACCOUNT
Can I downgrade my subscription?,SUBSCRIPTION
Can I check my refunded payment?,REFUND
Please help me: there is an error in the website,TECHNICAL
I need to edit my account information,ACCOUNT
I cannot complete a transaction,PAYMENT
My shipping is delayed,DELIVERY
I need to modify my phone number,ACCOUNT
Please help me: i am having trouble with sign in,LOGIN
I cannot access my account through the sign in,LOGIN
How much does the service plan cost?,SUBSCRIPTION
I want to upgrade my service plan,SUBSCRIPTION
How can I check my shipping?,DELIVERY
How do I replace my login password?,PASSWORD
I cannot process a transaction,PAYMENT
Please help me: i have a general question,GENERAL
My login page is not working,LOGIN
How do I get a money back?,REFUND
Please help me with my ordered item,ORDER
Please help me: my transaction was declined,PAYMENT
Please help me: i want to track my package,DELIVERY
I need to update my profile,ACCOUNT
Can you help me reset my current password?,PASSWORD
I am waiting for my shipping,DELIVERY
I want to change my service plan,SUBSCRIPTION
I have a problem with my plan,SUBSCRIPTION
Please help me: i want to know about the platform,GENERAL
Please help me: why was my checkout payment declined?,PAYMENT
My refund request has not arrived,REFUND
I need help changing my subscription,SUBSCRIPTION
Please help me: i want to find my shipment,DELIVERY
How do I change my login password?,PASSWORD
Please help me: my sign-in page is not working,LOGIN
Can I update my account information?,ACCOUNT
Please help me with my monthly plan,SUBSCRIPTION
Please help me: the web page stopped working,TECHNICAL
Please help me: i have a question about the account service,GENERAL
I need support with this: i have a question about the platform,GENERAL
Please help me: i am unable to log in,LOGIN
I want to track my ordered item,ORDER
How can I check my parcel?,DELIVERY
I need help with my email address,ACCOUNT
I want to change my order,ORDER
I need assistance because my delivery is delayed.,DELIVERY
Please help me with my parcel,DELIVERY
Can I track my purchase?,ORDER
Can I change my monthly plan?,SUBSCRIPTION
Can you help me replace my password?,PASSWORD
I cannot authenticate,LOGIN
I want to change my account information,ACCOUNT
How can I change my profile?,ACCOUNT
Please help me: the app is not working,TECHNICAL
Please help me: i want to understand the platform,GENERAL
Please help me: the sign-in is rejecting my attempt,LOGIN
I am having trouble with sign-in page,LOGIN
Please help me: i want to learn about the platform,GENERAL
Please help me: i want to check my package,DELIVERY
I need assistance because I received the wrong item.,ORDER
Please help me: please help with my sign-in,LOGIN
I need to correct my phone number,ACCOUNT
Can I upgrade my service plan?,SUBSCRIPTION
The system will not open,TECHNICAL
I want to upgrade my plan,SUBSCRIPTION
The app keeps crashing,TECHNICAL
Please help me: the application will not respond,TECHNICAL
I need to receive a refund request,REFUND
My card payment was declined,PAYMENT
How do I recover my new password?,PASSWORD
How do I process a refund request?,REFUND
Please help me: i cannot access my account through the account access,LOGIN
Can I change my plan?,SUBSCRIPTION
Please help me: my login is not working,LOGIN
Can you help me replace my old password?,PASSWORD
I need to process a refund,REFUND
How do I replace my account password?,PASSWORD
Please help me: the sign-in keeps failing,LOGIN
How does this account service work?,GENERAL
I need to receive a money back,REFUND
Please help with this web page problem,TECHNICAL
How do I downgrade my monthly plan?,SUBSCRIPTION
How do I receive a money back?,REFUND
I need assistance because my phone number changed.,ACCOUNT
Please help me: i want to understand the account service,GENERAL
Please help me: i need assistance because the system is behaving incorrectly.,TECHNICAL
Can I change my profile?,ACCOUNT
Can you help me restore my login password?,PASSWORD
I need help because I have a question that is not covered elsewhere.,GENERAL
Why was my debit card payment declined?,PAYMENT
Please help me: i want to know about the customer service,GENERAL
I cannot submit a payment,PAYMENT
Can I correct my personal information?,ACCOUNT
How do I change my current password?,PASSWORD
How can I find my shipping?,DELIVERY
Please help me: i want to locate my shipping,DELIVERY
Please help me: i want to understand the service,GENERAL
My checkout payment was declined,PAYMENT
How do I check a returned payment?,REFUND
Please help me: i want to understand the support,GENERAL
I need assistance because my parcel has not arrived.,DELIVERY
I need help because I have a general question.,GENERAL
Please help me: how does this support work?,GENERAL
The website is very slow,TECHNICAL
